,plant_id,datetime_utc,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_chill,wind_gust,heat_index,pressure,qpf,uv_index,snow,pop,fctcode,ozone,precip_accumulation,precip_intensity,precip_probability,precip_type,visibility,sunrise,sunset,icon,summary,updated_at
0,1,2019-09-30 18:30:00,2019-10-01 00:00:00,0.35,26.41,26,1,22.01,101,3.08,,6.42,,1008.45,,0,,,,268.6,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
1,1,2019-09-30 19:30:00,2019-10-01 01:00:00,0.43,25.95,25,1,22.06,105,2.94,,6.28,,1008.24,,0,,,,269.1,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
2,1,2019-09-30 20:30:00,2019-10-01 02:00:00,0.48,25.46,25,1,22.06,106,2.82,,6.08,,1007.9,,0,,,,269.7,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
3,1,2019-09-30 21:30:00,2019-10-01 03:00:00,0.49,24.8,24,1,21.87,106,2.63,,5.74,,1007.61,,0,,,,270.4,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
4,1,2019-09-30 22:30:00,2019-10-01 04:00:00,0.49,23.99,23,1,21.53,100,2.39,,5.3,,1007.51,,0,,,,271.3,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
5,1,2019-09-30 23:30:00,2019-10-01 05:00:00,0.49,24.0,23,1,21.56,94,2.09,,4.47,,1008.03,,0,,,,271.6,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
6,1,2019-10-01 00:30:00,2019-10-01 06:00:00,0.48,25.08,24,1,21.97,95,2.31,,4.07,,1008.61,,0,,,,271.8,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-night,Partly Cloudy,2019-10-02 23:32:38
7,1,2019-10-01 01:30:00,2019-10-01 07:00:00,0.51,25.69,25,1,22.34,96,2.98,,4.65,,1008.97,,0,,,,272.4,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Humid and Mostly Cloudy,2019-10-02 23:32:38
8,1,2019-10-01 02:30:00,2019-10-01 08:00:00,0.59,26.22,25,1,22.35,99,3.44,,5.14,,1009.53,,1,,,,272.8,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Humid and Mostly Cloudy,2019-10-02 23:32:38
9,1,2019-10-01 03:30:00,2019-10-01 09:00:00,0.66,29.03,27,1,22.21,102,3.49,,4.77,,1010.0,,3,,,,272.6,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Mostly Cloudy,2019-10-02 23:32:38
10,1,2019-10-01 04:30:00,2019-10-01 10:00:00,0.69,31.31,28,1,22.12,101,2.92,,3.52,,1009.99,,4,,,,271.6,,0.0,0.0,,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Mostly Cloudy,2019-10-02 23:32:38
11,1,2019-10-01 05:30:00,2019-10-01 11:00:00,0.69,33.07,30,1,21.71,91,2.21,,2.32,,1009.86,,5,,,,271.0,,0.03,0.01,rain,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Mostly Cloudy,2019-10-02 23:32:38
12,1,2019-10-01 06:30:00,2019-10-01 12:00:00,0.77,34.08,31,1,21.1,77,1.9,,1.9,,1009.39,,6,,,,271.2,,0.02,0.01,rain,16.09,2019-10-01 00:51:47,2019-10-01 12:45:42,partly-cloudy-day,Mostly Cloudy,2019-10-02 23:32:38
